timestamp,open,high,low,close,volume
2025-06-04 16:00:00-04:00,3.75,3.78,3.75,3.76,2379403.0
2025-06-04 17:00:00-04:00,3.765,3.77,3.76,3.76,54508.0
2025-06-04 18:00:00-04:00,3.76,3.79,3.76,3.78,98962.0
2025-06-04 19:00:00-04:00,3.78,3.79,3.76,3.7797,129011.0
2025-06-05 04:00:00-04:00,3.68,3.71,3.66,3.705,187094.0
2025-06-05 05:00:00-04:00,3.705,3.72,3.7,3.71,81736.0
2025-06-05 06:00:00-04:00,3.71,3.71,3.69,3.7,147891.0
2025-06-05 07:00:00-04:00,3.7,3.71,3.69,3.7,80425.0
2025-06-05 08:00:00-04:00,3.7,3.72,3.66,3.71,443337.0
2025-06-05 09:00:00-04:00,3.71,3.71,3.58,3.6,6561434.0
2025-06-05 10:00:00-04:00,3.5991,3.66,3.58,3.645,7072327.0
2025-06-05 11:00:00-04:00,3.6482,3.68,3.6401,3.6799,3550672.0
2025-06-05 12:00:00-04:00,3.675,3.68,3.62,3.62,3183410.0
2025-06-05 13:00:00-04:00,3.625,3.64,3.62,3.62,2422510.0
2025-06-05 14:00:00-04:00,3.62,3.63,3.61,3.615,2078852.0
2025-06-05 15:00:00-04:00,3.615,3.62,3.55,3.615,9065863.0
2025-06-05 16:00:00-04:00,3.62,3.63,3.57,3.6098,2353481.0
2025-06-05 17:00:00-04:00,3.6,3.61,3.59,3.6,62624.0
2025-06-05 18:00:00-04:00,3.6,3.61,3.58,3.6097,109136.0
2025-06-05 19:00:00-04:00,3.6097,3.61,3.59,3.59,89250.0
2025-06-06 04:00:00-04:00,3.54,3.57,3.52,3.54,230466.0
2025-06-06 05:00:00-04:00,3.54,3.55,3.52,3.55,93933.0
2025-06-06 06:00:00-04:00,3.55,3.55,3.54,3.55,60002.0
2025-06-06 07:00:00-04:00,3.55,3.61,3.55,3.6,207565.0
2025-06-06 08:00:00-04:00,3.55,3.61,3.5,3.58,521089.0
2025-06-06 09:00:00-04:00,3.59,3.7,3.56,3.6399,11196175.0
2025-06-06 10:00:00-04:00,3.635,3.64,3.58,3.585,4163183.0
2025-06-06 11:00:00-04:00,3.5898,3.61,3.58,3.61,2566404.0
2025-06-06 12:00:00-04:00,3.605,3.61,3.59,3.595,1418913.0
2025-06-06 13:00:00-04:00,3.595,3.61,3.59,3.605,1528286.0
2025-06-06 14:00:00-04:00,3.605,3.62,3.6,3.605,1532420.0
2025-06-06 15:00:00-04:00,3.605,3.63,3.6,3.61,5539377.0
2025-06-06 16:00:00-04:00,3.61,3.63,3.61,3.62,1949276.0
2025-06-06 17:00:00-04:00,3.62,3.64,3.62,3.63,95253.0
2025-06-06 18:00:00-04:00,3.6297,3.63,3.62,3.62,13992.0
2025-06-06 19:00:00-04:00,3.63,3.63,3.62,3.6299,56350.0
2025-06-09 04:00:00-04:00,3.65,3.65,3.59,3.6,220094.0
2025-06-09 05:00:00-04:00,3.6,3.61,3.6,3.6,70830.0
2025-06-09 06:00:00-04:00,3.61,3.63,3.6,3.62,108535.0
2025-06-09 07:00:00-04:00,3.63,3.65,3.63,3.65,78791.0
2025-06-09 08:00:00-04:00,3.63,3.68,3.6,3.6498,390594.0
