timestamp,open,high,low,close,volume
2025-06-11 07:00:00-04:00,101.5,101.5,101.0,101.0,4143.0
2025-06-11 08:00:00-04:00,101.25,101.75,100.8,101.25,63050.0
2025-06-11 09:00:00-04:00,101.28,101.6,99.39,99.813,684864.0
2025-06-11 10:00:00-04:00,99.82,99.9,98.935,99.09,835222.0
2025-06-11 11:00:00-04:00,99.1,99.15,98.6,98.6625,614366.0
2025-06-11 12:00:00-04:00,98.67,98.83,98.33,98.41,633825.0
2025-06-11 13:00:00-04:00,98.41,98.88,98.32,98.46,445945.0
2025-06-11 14:00:00-04:00,98.44,98.56,97.87,98.1,725196.0
2025-06-11 15:00:00-04:00,98.09,98.16,97.75,98.105,1675225.0
2025-06-11 16:00:00-04:00,98.11,98.3,97.81,98.13,1011651.0
2025-06-11 17:00:00-04:00,98.0,98.1975,98.0,98.1,1105.0
2025-06-11 18:00:00-04:00,98.0,98.19,97.97,98.1,2688.0
2025-06-11 19:00:00-04:00,98.1835,98.1835,98.0,98.05,664.0
2025-06-12 04:00:00-04:00,98.0,98.0,97.8,97.8,676.0
2025-06-12 07:00:00-04:00,97.99,97.99,97.28,97.41,6079.0
2025-06-12 08:00:00-04:00,97.55,98.35,97.0268,97.5172,6761.0
2025-06-12 09:00:00-04:00,97.76,98.91,97.03,98.73,626806.0
2025-06-12 10:00:00-04:00,98.73,99.12,98.09,98.797,879508.0
2025-06-12 11:00:00-04:00,98.81,98.99,98.0504,98.245,481937.0
2025-06-12 12:00:00-04:00,98.26,98.99,98.205,98.9,554912.0
2025-06-12 13:00:00-04:00,98.885,99.49,98.87,99.11,505439.0
2025-06-12 14:00:00-04:00,99.113,99.325,98.9101,98.955,345700.0
2025-06-12 15:00:00-04:00,98.955,99.305,98.8615,99.3,1065664.0
2025-06-12 16:00:00-04:00,99.29,99.3479,98.3301,99.08,633635.0
2025-06-12 17:00:00-04:00,99.09,99.28,99.09,99.28,1082.0
2025-06-12 18:00:00-04:00,99.2454,99.2454,99.0,99.05,504.0
2025-06-12 19:00:00-04:00,99.1,99.2,98.9,98.9,3363.0
2025-06-13 04:00:00-04:00,98.11,98.11,98.02,98.02,355.0
2025-06-13 05:00:00-04:00,97.62,97.88,97.62,97.88,300.0
2025-06-13 06:00:00-04:00,97.9,97.9,97.9,97.9,1066.0
2025-06-13 07:00:00-04:00,97.91,98.21,97.91,98.21,1360.0
2025-06-13 08:00:00-04:00,97.87,98.5,97.61,98.22,11829.0
2025-06-13 09:00:00-04:00,98.35,99.25,97.5,98.025,367222.0
2025-06-13 10:00:00-04:00,98.09,98.3,96.79,97.08,1065529.0
2025-06-13 11:00:00-04:00,97.08,97.41,96.89,97.1186,686746.0
2025-06-13 12:00:00-04:00,97.095,97.22,96.69,96.905,548906.0
2025-06-13 13:00:00-04:00,96.9,97.0,96.46,96.73,528523.0
2025-06-13 14:00:00-04:00,96.74,96.86,95.93,96.225,693986.0
2025-06-13 15:00:00-04:00,96.22,96.27,94.775,95.36,2174988.0
2025-06-13 16:00:00-04:00,95.37,95.9,95.3,95.37,1015611.0
2025-06-13 17:00:00-04:00,95.4,95.58,95.4,95.58,8342.0
2025-06-13 18:00:00-04:00,95.5,95.54,95.41,95.54,1758.0
2025-06-13 19:00:00-04:00,95.5383,95.54,95.4101,95.53,2308.0
2025-06-16 04:00:00-04:00,95.99,95.99,95.99,95.99,420.0
2025-06-16 06:00:00-04:00,95.99,96.25,95.99,96.25,1424.0
2025-06-16 07:00:00-04:00,96.03,96.18,96.01,96.18,702.0
2025-06-16 08:00:00-04:00,96.1001,96.25,96.0,96.24,17016.0
2025-06-16 09:00:00-04:00,96.2,96.8403,95.47,96.5,505685.0
2025-06-16 10:00:00-04:00,96.5,96.82,96.02,96.39,843901.0
2025-06-16 11:00:00-04:00,96.39,96.56,95.58,95.63,633670.0
2025-06-16 12:00:00-04:00,95.64,96.52,95.495,96.36,2033339.0
2025-06-16 13:00:00-04:00,96.355,97.2598,96.3,97.0625,534070.0
2025-06-16 14:00:00-04:00,97.04,97.445,97.025,97.305,690387.0
2025-06-16 15:00:00-04:00,97.32,97.53,97.155,97.37,1121871.0
2025-06-16 16:00:00-04:00,97.37,97.5,97.21,97.28,930686.0
2025-06-16 17:00:00-04:00,97.37,97.5,97.3692,97.5,1545.0
