Date,Open,High,Low,Close,Volume
2023-06-15 10:00:00,135.9650,137.4900,135.2892,137.4550,4223797.0000
2023-06-15 14:00:00,137.4700,138.2500,136.5500,137.8900,3121810.0000
2023-06-15 18:00:00,137.8900,137.8900,137.5000,137.5000,9976.0000
2023-06-16 02:00:00,138.6500,138.8000,138.6500,138.8000,876.0000
2023-06-16 06:00:00,138.9800,138.9900,135.5500,135.6300,1685081.0000
2023-06-16 10:00:00,135.6500,136.3000,134.1300,134.8600,4092093.0000
2023-06-16 14:00:00,134.8410,134.9799,133.5900,133.7800,2380563.0000
2023-06-16 18:00:00,133.9000,133.9400,133.8100,133.9200,6315.0000
2023-06-20 02:00:00,133.9200,133.9200,133.6500,133.6500,1186.0000
2023-06-20 06:00:00,133.3300,133.7600,131.7500,132.6100,1055688.0000
2023-06-20 10:00:00,132.5900,132.7900,131.4200,132.5920,2074807.0000
2023-06-20 14:00:00,132.5975,132.9300,132.3800,132.5818,1448155.0000
2023-06-20 18:00:00,132.6000,132.7400,132.6000,132.7400,2723.0000
2023-06-21 06:00:00,132.7200,133.2000,131.3300,133.1550,574087.0000
2023-06-21 10:00:00,133.1200,133.4599,132.1900,132.9600,1614370.0000
2023-06-21 14:00:00,132.9750,133.9800,132.8900,133.0101,1240785.0000
2023-06-21 18:00:00,133.1700,133.1700,133.1000,133.1000,613.0000
2023-06-22 06:00:00,132.2600,133.7600,132.2600,132.8800,381856.0000
2023-06-22 10:00:00,132.8050,132.8300,131.4300,132.1850,2479391.0000
2023-06-22 14:00:00,132.1850,132.7800,132.0901,132.5000,1028939.0000
2023-06-22 18:00:00,132.4988,132.4988,132.4900,132.4900,471.0000
2023-06-23 02:00:00,131.5000,131.5000,131.5000,131.5000,150.0000
2023-06-23 06:00:00,131.8000,132.2600,130.3200,132.0800,674019.0000
2023-06-23 10:00:00,132.0850,132.3404,131.3000,132.2500,1498792.0000
2023-06-23 14:00:00,132.2500,132.4100,131.5500,131.7900,1355123.0000
2023-06-23 18:00:00,131.7900,131.8500,131.6000,131.8500,1393.0000
2023-06-26 06:00:00,132.0000,133.8000,131.8500,133.4969,493985.0000
2023-06-26 10:00:00,133.5350,135.4600,133.3200,134.6550,2078521.0000
2023-06-26 14:00:00,134.6700,134.8200,134.2619,134.5300,1434895.0000
2023-06-26 18:00:00,134.6000,134.6900,134.5095,134.6900,1971.0000
2023-06-27 02:00:00,134.5000,134.5000,134.4800,134.4800,428.0000
2023-06-27 06:00:00,133.5500,133.7100,132.1600,133.4600,1032475.0000
2023-06-27 10:00:00,133.4300,134.8399,133.3700,133.9000,1805579.0000
2023-06-27 14:00:00,133.9000,133.9600,132.4100,132.5300,2669596.0000
2023-06-27 18:00:00,132.5300,132.7500,132.5100,132.6800,3594.0000
2023-06-28 02:00:00,132.5100,132.5100,132.5100,132.5100,150.0000
2023-06-28 06:00:00,132.6100,132.9600,131.8800,132.8000,378788.0000
2023-06-28 10:00:00,132.8500,133.3800,132.0200,132.5950,1601564.0000
2023-06-28 14:00:00,132.5850,133.0000,132.2300,132.4000,1841090.0000
2023-06-28 18:00:00,132.4000,132.8000,132.4000,132.8000,2914.0000
2023-06-29 06:00:00,133.0000,134.0600,132.1000,133.2991,743589.0000
2023-06-29 10:00:00,133.2900,133.5500,131.7700,132.7900,2658553.0000
2023-06-29 14:00:00,132.7850,133.7400,132.2100,132.8800,2107541.0000
2023-06-29 18:00:00,132.7700,132.9100,132.6900,132.9100,2815.0000
2023-06-30 06:00:00,133.1300,134.0700,132.6600,133.1500,418416.0000
2023-06-30 10:00:00,133.1450,133.5200,131.1294,132.0502,3989372.0000
2023-06-30 14:00:00,132.0500,132.4700,131.7500,132.1000,2030789.0000
2023-06-30 18:00:00,132.1000,132.1500,132.0100,132.0100,3138.0000
2023-07-03 02:00:00,131.9000,132.3000,131.9000,132.3000,215.0000
2023-07-03 06:00:00,131.8000,134.1016,131.5100,134.1016,951734.0000
2023-07-03 10:00:00,134.1250,135.3192,134.0800,134.8600,3145852.0000
2023-07-03 14:00:00,134.5400,134.6954,134.5000,134.5000,737.0000
2023-07-05 02:00:00,134.8600,134.8600,134.7800,134.7800,509.0000
2023-07-05 06:00:00,134.4500,134.8600,132.5750,133.0300,662220.0000
2023-07-05 10:00:00,133.0500,133.5000,132.6600,133.1600,1807690.0000
2023-07-05 14:00:00,133.1600,133.2661,132.3000,132.6500,1372815.0000
2023-07-05 18:00:00,132.4100,132.7200,132.3000,132.6000,22680.0000
2023-07-06 02:00:00,132.5000,132.5000,132.5000,132.5000,100.0000
2023-07-06 06:00:00,132.4000,132.9700,131.7300,132.4300,456776.0000
2023-07-06 10:00:00,132.4500,132.7950,130.4300,131.0600,2222009.0000
2023-07-06 14:00:00,131.0700,131.2400,130.6000,130.9500,1616103.0000
2023-07-06 18:00:00,130.8000,130.9900,130.7505,130.8400,1281.0000
2023-07-07 06:00:00,130.8400,131.7600,130.5000,131.3350,389229.0000
2023-07-07 10:00:00,131.3400,132.2200,130.8800,131.4250,1782700.0000
2023-07-07 14:00:00,131.4250,131.6400,129.8600,130.1400,1490102.0000
2023-07-07 18:00:00,130.1500,130.1999,130.0600,130.1500,4227.0000
2023-07-10 06:00:00,130.4100,131.8400,130.0600,131.7500,437148.0000
2023-07-10 10:00:00,131.7500,131.8600,130.4800,131.1400,1626520.0000
2023-07-10 14:00:00,131.1500,131.8000,130.9600,131.6500,1280406.0000
2023-07-10 18:00:00,131.5300,131.7400,131.5300,131.7400,747.0000
2023-07-11 06:00:00,131.6000,132.8200,131.3700,132.5900,506364.0000
2023-07-11 10:00:00,132.5900,134.2974,132.5450,133.3800,2254607.0000
2023-07-11 14:00:00,133.3600,133.5000,132.7100,133.4500,1011438.0000
2023-07-11 18:00:00,133.4000,133.4000,133.3000,133.3500,5605.0000
2023-07-12 06:00:00,133.0100,135.4100,132.7500,133.9800,512562.0000
