Date,Open,High,Low,Close,Volume
2023-06-15 10:00:00,77.2300,78.4574,76.8300,78.3900,1022526.0000
2023-06-15 14:00:00,78.4050,79.1600,78.1000,78.9800,991433.0000
2023-06-16 06:00:00,77.8153,79.3050,77.8153,78.8550,410501.0000
2023-06-16 10:00:00,78.8900,80.8300,78.8550,79.7600,1491978.0000
2023-06-16 14:00:00,79.7400,80.3300,79.3600,79.7900,2019252.0000
2023-06-20 06:00:00,79.2900,79.4750,78.9250,79.4600,129449.0000
2023-06-20 10:00:00,79.4200,79.5500,78.4050,78.6700,771081.0000
2023-06-20 14:00:00,78.6625,78.9550,78.6200,78.8200,772900.0000
2023-06-20 18:00:00,78.8400,78.8400,78.8400,78.8400,500.0000
2023-06-21 06:00:00,78.8400,79.8700,78.6300,79.6400,115994.0000
2023-06-21 10:00:00,79.7100,79.7100,78.7200,79.0300,505626.0000
2023-06-21 14:00:00,79.0500,79.8000,78.9500,79.0200,660905.0000
2023-06-22 06:00:00,78.4768,79.1900,78.4700,78.6450,91317.0000
2023-06-22 10:00:00,78.6496,79.1400,78.5400,78.9400,421011.0000
2023-06-22 14:00:00,78.9500,79.1100,78.6700,79.0500,545318.0000
2023-06-23 06:00:00,78.3200,79.6100,78.2400,79.4400,151545.0000
2023-06-23 10:00:00,79.4400,80.0800,79.2000,79.4600,734442.0000
2023-06-23 14:00:00,79.4600,79.5200,79.0500,79.1300,935759.0000
2023-06-26 06:00:00,78.9900,80.7400,78.7500,80.5500,158520.0000
2023-06-26 10:00:00,80.5500,81.3650,80.0205,81.2250,681303.0000
2023-06-26 14:00:00,81.2250,81.5900,81.0000,81.4000,1174750.0000
2023-06-26 18:00:00,81.2000,81.5000,81.2000,81.5000,685.0000
2023-06-27 06:00:00,81.9600,81.9600,81.3700,81.8200,226489.0000
2023-06-27 10:00:00,81.7750,83.0700,81.7600,82.8900,999133.0000
2023-06-27 14:00:00,82.9000,83.2100,82.7700,82.9100,951134.0000
2023-06-27 18:00:00,82.9100,83.2047,82.9100,83.2047,1500.0000
2023-06-28 06:00:00,82.0400,82.5500,81.8000,82.2250,190747.0000
2023-06-28 10:00:00,82.2400,82.4400,81.7800,81.9300,650388.0000
2023-06-28 14:00:00,81.9400,82.4700,81.9100,82.2800,673112.0000
2023-06-29 06:00:00,83.0000,83.2000,82.1500,83.1700,144123.0000
2023-06-29 10:00:00,83.1700,83.4200,82.7128,83.3450,571821.0000
2023-06-29 14:00:00,83.3300,83.4900,83.0300,83.2100,640061.0000
2023-06-30 06:00:00,83.4100,83.4100,82.7950,82.9900,109552.0000
2023-06-30 10:00:00,83.0150,83.1900,81.8400,82.1700,926127.0000
2023-06-30 14:00:00,82.1800,82.4100,81.9000,81.9000,819414.0000
2023-07-03 06:00:00,81.9000,82.4900,81.6850,82.1400,147291.0000
2023-07-03 10:00:00,82.2100,82.5800,82.0700,82.1700,1198867.0000
2023-07-05 06:00:00,81.9300,82.1500,81.6100,81.7200,203770.0000
2023-07-05 10:00:00,81.6650,81.6700,80.8800,81.3300,778986.0000
2023-07-05 14:00:00,81.3100,81.3200,80.8850,81.0500,723745.0000
2023-07-06 06:00:00,80.6900,80.6900,79.8500,80.1650,184381.0000
2023-07-06 10:00:00,80.1400,80.2100,79.1300,79.7600,958315.0000
2023-07-06 14:00:00,79.7500,80.7900,79.5800,80.5900,1389072.0000
2023-07-07 06:00:00,80.1400,80.7700,79.4200,79.9800,199435.0000
2023-07-07 10:00:00,79.9650,80.4800,79.5500,80.0800,876342.0000
2023-07-07 14:00:00,80.1000,80.3350,78.7000,78.7000,935538.0000
2023-07-10 06:00:00,79.0000,80.9700,79.0000,80.9200,177542.0000
2023-07-10 10:00:00,80.8900,80.9600,79.5950,79.8300,525495.0000
2023-07-10 14:00:00,79.8400,80.0600,79.7300,79.8800,612240.0000
2023-07-11 06:00:00,80.2800,81.3399,80.2800,81.2250,122243.0000
2023-07-11 10:00:00,81.2500,81.9700,81.1800,81.4200,643541.0000
2023-07-11 14:00:00,81.4400,81.8200,81.4000,81.7600,596645.0000
2023-07-11 18:00:00,81.7500,81.7500,81.7500,81.7500,190.0000
2023-07-12 06:00:00,82.2500,82.8100,82.0000,82.2800,142521.0000
2023-07-12 10:00:00,82.3900,82.4100,81.2800,81.8600,585528.0000
2023-07-12 14:00:00,81.9000,81.9900,81.0550,81.0800,626906.0000
2023-07-13 06:00:00,81.7700,81.9300,81.3000,81.8450,137212.0000
2023-07-13 10:00:00,81.8450,82.0200,80.7600,80.9501,590993.0000
2023-07-13 14:00:00,80.9500,81.4400,80.8100,81.3000,645954.0000
2023-07-14 06:00:00,81.3500,81.5000,80.5600,80.7200,89008.0000
2023-07-14 10:00:00,80.6800,80.8050,80.1500,80.3400,456803.0000
2023-07-14 14:00:00,80.3200,80.4950,80.1500,80.2300,535153.0000
2023-07-17 06:00:00,80.2600,80.9614,80.0300,80.9400,110250.0000
2023-07-17 10:00:00,80.9500,81.9250,80.9400,81.8050,542571.0000
